0002	Heading 1	CONTRACAPA
0027	Heading 1	Como usar este livro
0031	Heading 1	Capítulo 1 — São Paulo Não É Uma Cidade. É Um Acordo.
0039	Heading 2	1.1 — Duas lentes para entender a noite: classe e território
0041	Heading 3	Fachada e elite
0043	Heading 3	Cidade de classe média: a rotina que registra
0045	Heading 3	Bordas, quebradas e bolsões de abandono
0047	Heading 3	Clãs e facções atravessam essas lentes
0049	Heading 3	Como a noite se organiza em São Paulo (em termos práticos)
0055	Heading 2	1.2 — Quem está na cidade (um retrato rápido)
0063	Heading 2	1.3 — As cinco leis da noite
0070	Heading 2	1.4 — Como se caça sem destruir a cidade
0077	Heading 2	1.5 — Pontos de interesse (o mapa como texto)
0079	Heading 3	Elysia (Camarilla)
0082	Heading 3	Noites de exposição (onde a cidade finge normalidade)
0084	Heading 3	A madrugada anônima
0086	Heading 3	Política de rua (baronato)
0088	Heading 3	Mortos, memória e o preço do silêncio (Hecata)
0091	Heading 3	O oculto e a memória que insiste
0093	Heading 3	Risco (Segunda Inquisição / rastro)
0095	Heading 3	Fronteiras
0097	Heading 3	Risco lupino
0099	Heading 3	Rumor e exposição
0101	Heading 2	1.6 — A cronologia comentada (marcos e consequências)
0102	Heading 3	2012–2019 — A cidade aprende a registrar
0105	Heading 3	2020–2022 — Rotina quebrada, caça reativada
0108	Heading 3	2023 — Elysia fixos e restrição de Abraços
0111	Heading 3	2024 — Baronias se consolidam; uma emboscada redefine limites
0114	Heading 3	2024–2025 — Queda de um chantry Tremere; paranoia vira moeda
0117	Heading 3	2025 — A taxa do silêncio: morte, memória e Eco viram negócio
0120	Heading 3	2025 — Queda das Harpias: Lumen, exposição e uma corte ferida
0123	Heading 3	2026 — O ano do ruído baixo
0126	Heading 2	1.7 — Tramas em andamento
0136	Heading 1	Capítulo 2 — A Corte: Etiqueta, Favores e Contenção
0140	Heading 2	2.1 — Por que a Camarilla é forte em São Paulo
0147	Heading 2	2.2 — O pacto do Príncipe e as zonas cinza
0154	Heading 2	2.3 — Elysium (em termos práticos)
0161	Heading 2	2.4 — Núcleo da Corte (quem manda e quem executa)
0162	Heading 3	Artur Macedo — Príncipe (Ventrue)
0167	Heading 3	Luiza Salles — Senescal (Toreador)
0171	Heading 3	Samira al‑Haddad — Xerife (Banu Haqim)
0176	Heading 3	Raul Marques — Adjunto do Xerife (campo)
0179	Heading 3	Aiko Tanaka — Harpia (Pinheiros)
0182	Heading 3	Daniel Sato — Harpia
0186	Heading 2	2.5 — Primogênitos: contenção interna
0197	Heading 2	2.6 — Clãs na Camarilla (como cada clã aparece em São Paulo)
0199	Heading 3	Ventrue
0205	Heading 3	Toreador
0211	Heading 3	Nosferatu
0217	Heading 3	Tremere
0222	Heading 3	Lasombra
0228	Heading 3	Banu Haqim
0233	Heading 3	Malkavian
0238	Heading 2	2.7 — Favores: a moeda que não deixa recibo
0246	Heading 2	2.8 — Punições: como a Corte pune sem virar guerra
0250	Heading 2	2.9 — A Corte em cena (seis entradas rápidas)
0258	Heading 1	Capítulo 3 — Baronatos: Território e Sobrevivência
